DMA_NAME,DMA,Date,HYQ_PI_PATIENTS,NUM_PATIENTS_COVERAGE,P_RXNT_IMPRESSION,P_MEDSCAPE_IMPRESSION,P_SERMO_IMPRESSION,P_HCP_PS_IMPRESSIONS,P_DTC_PS_IMPRESSIONS,P_HCP_PLD_IMPRESSIONS,P_RTE,P_HQ_EMAILS_DTC,P_HQ_EMAILS_HCP,P_LUNCH_LEARN_PDES,P_F2F_PDES,P_PHONE_PDES,P_OTHER_PDES,P_TOTAL_PDES,P_FB_2,P_DSE_2
Portland-Or,500_1,1/1/2023,5,265,0,0,0,181,126,0,3,0,0,0,5,0,9,14,20953.45153,0
Portland-Or,500_1,2/1/2023,4,260,0,0,0,240,160,0,0,0,0,0,2,0,9,11,19440.35721,0
Portland-Or,500_1,3/1/2023,6,265,0,0,0,180,125,0,0,0,0,0,1.5,0.5,5.5,7.5,15225.31756,0
Portland-Or,500_1,4/1/2023,5,268,0,0,0,121,159,0,0,0,0,0,1,0,5,6,13012.66132,0
Portland-Or,500_1,5/1/2023,5,277,0,0,0,160,146,0,0,0,0,0,1,0,7,8,9382.868306,0
Portland-Or,500_1,6/1/2023,5,238,0,0,0,170,134,0,0,0,0,0,3,0,6.5,9.5,8275.054279,0
Portland-Or,500_1,7/1/2023,5,218,0,0,0,115,154,0,1,0,0,0,8.5,0,0,8.5,11328.78269,0
Portland-Or,500_1,8/1/2023,4,229,0,0,0,150,168,0,0,0,0,0,15.5,0,0,15.5,11776.97053,0
Portland-Or,500_1,9/1/2023,5,225,0,4,0,151,151,0,0,0,0,0,8,0,0,8,10300.33101,0
Portland-Or,500_1,10/1/2023,5,228,2138,1,0,119,144,891,0,0,0,0,7.5,0,0,7.5,11407.97255,0
Portland-Or,500_1,11/1/2023,5,224,1598,0,0,159,119,806,0,0,0,0,7,0,0,7,6531.167121,0
Portland-Or,500_1,12/1/2023,4,206,2280,1,0,120,97,688,0,0,0,0,8,0,0,8,12265.76115,0
Portland-Or,500_1,1/1/2024,5,196,1582,184,0,202,125,910,0,0,47,0,8.5,0,0,8.5,13883.07463,867.679782
Portland-Or,500_1,2/1/2024,4,187,1931,166,0,123,210,784,0,0,4,0,6.5,0,0,6.5,11957.30559,1795.058253
Portland-Or,500_1,3/1/2024,5,172,2132,175,0,89,132,682,0,0,0,0,6.5,0,0,6.5,11324.53199,2319.083047
Portland-Or,500_1,4/1/2024,7,174,1559,0,0,21,56,1231,0,0,0,0,8,0,0,8,12995.33933,4794.853478
Portland-Or,500_1,5/1/2024,7,170,1302,0,0,115,150,1340,1,0,0,0,9,0,0,9,8430.092937,3509.998068
Portland-Or,500_1,6/1/2024,7,161,724,0,0,151,175,1579,22,0,0,0,5,0,0,5,3604.852886,1436.247204
Portland-Or,500_1,7/1/2024,7,75,875,0,0,100,202,2443,0,0,0,0,5.5,0,0.5,6,3059.668628,1164.679011
Portland-Or,500_1,8/1/2024,6,80,1056,0,0,177,182,2598,7,0,0,0,11,0,0,11,3351.748516,1084.830072
Portland-Or,500_1,9/1/2024,7,79,972,0,0,152,170,2762,0,0,0,0,7,0,0,7,2842.812743,754.0269843
Portland-Or,500_1,10/1/2024,8,77,1333,4,0,244,221,2715,0,0,6,0,3.5,0,0,3.5,6858.401921,1688.713673
Portland-Or,500_1,11/1/2024,6,69,1278,5,10,193,119,2557,7,5,0,0,7,0,0,7,7470.595606,1478.443893
Portland-Or,500_1,12/1/2024,8,67,1419,8,3,126,163,3295,0,0,0,0,9,0,0,9,8262.089503,637.4319227
Portland-Or,500_1,1/1/2025,7,62,979,0,0,298,361,3163,0,0,0,0,12.5,0,0,12.5,9707.694284,14.233657
Portland-Or,500_1,2/1/2025,8,50,1061,0,1,149,241,0,0,0,0,0,7.5,0,0.5,8,13327.60667,159.381197
New York,501_1,1/1/2023,181,2317,0,0,0,3516,2857,0,3,0,0,0,6.5,14.5,210.5,231.5,434971.8131,0
New York,501_1,2/1/2023,178,2325,0,0,0,3787,2544,0,1,0,0,0,10.5,7.5,182.5,200.5,307692.2537,0
New York,501_1,3/1/2023,187,2364,0,0,0,3820,2700,0,1,0,0,0,7,9,214,230,325472.3623,0
New York,501_1,4/1/2023,186,2384,0,0,0,2063,2902,0,2,0,0,0,4.5,12,156,172.5,230742.3696,0
New York,501_1,5/1/2023,190,2376,0,0,0,2987,2842,0,5,0,0,0,9,11.5,160.5,181,178734.4423,0
New York,501_1,6/1/2023,184,2216,0,0,0,2799,2671,0,18,0,0,0,6.5,20,182.5,209,148896.5359,0
New York,501_1,7/1/2023,191,2197,0,5,0,1860,2785,0,5,0,0,0,108.5,26.5,1,136,195832.1171,0
New York,501_1,8/1/2023,197,2227,0,129,0,2305,2501,0,5,0,0,0.5,135.5,40,0,176,182765.2501,0
New York,501_1,9/1/2023,223,2230,0,171,0,2534,2359,0,0,0,0,0.5,135,11,5,151.5,170460.3799,0
New York,501_1,10/1/2023,229,2161,16990,34,0,2183,2155,14450,8,0,1,1.5,184,11,25.5,222,124067.331,0
New York,501_1,11/1/2023,222,2164,18091,0,0,2347,2374,13497,6,0,4,0,172,22.5,3,197.5,88428.88578,0
New York,501_1,12/1/2023,221,1908,17691,133,0,2348,2159,12803,2,0,0,0,152,19,1,172,135262.1633,0
New York,501_1,1/1/2024,231,1860,18541,4467,0,3415,2982,15230,6,0,934,0,223,23,16,262,207422.2386,12963.70491
New York,501_1,2/1/2024,255,1689,16526,4752,0,1849,2909,13646,10,0,148,2.5,256.5,20.5,2,281.5,147998.5959,22217.89006
New York,501_1,3/1/2024,254,1656,15800,4111,0,1472,1928,13388,5,0,0,0.5,235,21.5,0,257,129470.0933,26513.40459
New York,501_1,4/1/2024,250,1705,9476,0,0,572,1286,27071,5,0,0,3.5,216.5,9.5,6.5,236,90030.05869,33218.13528
New York,501_1,5/1/2024,258,1670,9764,0,0,2477,3268,26777,4,0,3,0,179,19,4.5,202.5,83450.92638,34746.06894
New York,501_1,6/1/2024,236,1562,10138,0,0,3234,3225,31250,12,19,3,0.5,133,12.5,1.5,147.5,65637.39172,26151.28087
New York,501_1,7/1/2024,247,972,10960,0,0,2347,2548,33580,9,54,0,0,214.5,20.5,7.5,242.5,41828.71291,15922.32032
New York,501_1,8/1/2024,250,995,10483,0,0,3251,2561,35289,3,0,0,0,176,10.5,0,186.5,43084.12545,13944.6485
New York,501_1,9/1/2024,247,979,10341,6,0,2794,2919,35152,6,0,0,8,176,17,32.5,233.5,35894.01534,9520.520197
New York,501_1,10/1/2024,250,1060,9731,87,0,5214,4711,37641,4,0,212,1,176,12.5,12,201.5,87335.06899,21504.12397
New York,501_1,11/1/2024,238,1085,10334,107,65,5026,3222,34389,6,5,4,0,163.5,15,18,196.5,95290.88018,18858.23129
New York,501_1,12/1/2024,245,1044,10468,92,195,2040,4185,41424,6,7,4,0,143.5,11.5,4,159,96256.47353,7426.323447
New York,501_1,1/1/2025,254,1017,11142,0,276,4403,6458,42602,10,7,4,0,192.5,18,15.5,226,131212.601,192.3871007
New York,501_1,2/1/2025,233,977,9783,0,102,1964,3802,0,18,6,4,0,172.5,13.5,18,204,143749.0689,1719.055734
Binghamton,502_1,1/1/2023,2,200,0,0,0,43,25,0,0,0,0,0,3,0,0,3,4641.155389,0
Binghamton,502_1,2/1/2023,2,206,0,0,0,34,18,0,0,0,0,0,2,0,0,2,2527.246437,0
Binghamton,502_1,3/1/2023,3,204,0,0,0,39,22,0,0,0,0,0,3,0,0,3,3045.063512,0
Binghamton,502_1,4/1/2023,3,200,0,0,0,36,25,0,0,0,0,0,0.5,0,0,0.5,2834.901217,0
Binghamton,502_1,5/1/2023,3,196,0,0,0,32,23,0,0,0,0,0,1.5,0,0,1.5,1686.463258,0
Binghamton,502_1,6/1/2023,3,198,0,0,0,40,50,0,0,0,0,0,1,0,0,1,2449.851596,0
Binghamton,502_1,7/1/2023,1,194,0,0,0,32,32,0,0,0,0,0,0,0,0,0,2695.323762,0
Binghamton,502_1,8/1/2023,3,190,0,0,0,34,29,0,0,0,0,0,0.5,0,0,0.5,2333.173406,0
Binghamton,502_1,9/1/2023,3,181,0,0,0,33,23,0,0,0,0,0,0,0,0,0,1885.027898,0
Binghamton,502_1,10/1/2023,3,144,9,0,0,30,15,244,0,0,0,0,1.5,0,0,1.5,1032.364355,0
Binghamton,502_1,11/1/2023,2,144,20,0,0,33,25,198,0,0,0,0,0.5,0,0,0.5,672.1111579,0
Binghamton,502_1,12/1/2023,2,136,8,0,0,27,16,206,0,0,0,0,1.5,0,0,1.5,989.4226668,0
Binghamton,502_1,1/1/2024,2,132,5,5,0,41,38,258,0,0,6,0,3,0,0,3,1606.795194,100.4232666
